run_id,baseline,model_profile,model_name,base_model_memory_mb,reserve_target_mb,full_res,global_res,roi_res,roi_count_requested,roi_count_effective,adapter_count,active_top_k_requested,active_top_k_effective,adapter_structure,visual_tokens,visual_memory_mb,resident_adapter_memory_mb,temporary_load_buffer_mb,estimated_peak_memory_mb,estimated_peak_memory_gb,reserve_pass,reserve_headroom_mb,load_count,evict_count,hold_count,latency_proxy_ms,policy_trace
costsim-00067,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,4,4,4,independent_all_resident,3648,2261.76,720,96,12077.76,11.795,True,8914.24,4,0,0,154.13,n/a
costsim-00068,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,8,1,1,independent_all_resident,3648,2261.76,1440,96,12797.76,12.498,True,8194.24,1,0,0,100.13,n/a
costsim-00069,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,8,2,2,independent_all_resident,3648,2261.76,1440,96,12797.76,12.498,True,8194.24,2,0,0,118.13,n/a
costsim-00070,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,8,4,4,independent_all_resident,3648,2261.76,1440,96,12797.76,12.498,True,8194.24,4,0,0,154.13,n/a
costsim-00071,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,16,1,1,independent_all_resident,3648,2261.76,2880,96,14237.76,13.904,True,6754.24,1,0,0,100.13,n/a
costsim-00072,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,16,2,2,independent_all_resident,3648,2261.76,2880,96,14237.76,13.904,True,6754.24,2,0,0,118.13,n/a
costsim-00073,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,16,4,4,independent_all_resident,3648,2261.76,2880,96,14237.76,13.904,True,6754.24,4,0,0,154.13,n/a
costsim-00074,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,32,1,1,independent_all_resident,3648,2261.76,5760,96,17117.76,16.717,True,3874.24,1,0,0,100.13,n/a
costsim-00075,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,32,2,2,independent_all_resident,3648,2261.76,5760,96,17117.76,16.717,True,3874.24,2,0,0,118.13,n/a
costsim-00076,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,32,4,4,independent_all_resident,3648,2261.76,5760,96,17117.76,16.717,True,3874.24,4,0,0,154.13,n/a
costsim-00077,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,4,1,1,independent_all_resident,5696,3531.52,720,96,13347.52,13.035,True,7644.48,1,0,0,122.66,n/a
costsim-00078,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,4,2,2,independent_all_resident,5696,3531.52,720,96,13347.52,13.035,True,7644.48,2,0,0,140.66,n/a
costsim-00079,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,4,4,4,independent_all_resident,5696,3531.52,720,96,13347.52,13.035,True,7644.48,4,0,0,176.66,n/a
costsim-00080,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,8,1,1,independent_all_resident,5696,3531.52,1440,96,14067.52,13.738,True,6924.48,1,0,0,122.66,n/a
costsim-00081,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,8,2,2,independent_all_resident,5696,3531.52,1440,96,14067.52,13.738,True,6924.48,2,0,0,140.66,n/a
costsim-00082,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,8,4,4,independent_all_resident,5696,3531.52,1440,96,14067.52,13.738,True,6924.48,4,0,0,176.66,n/a
costsim-00083,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,16,1,1,independent_all_resident,5696,3531.52,2880,96,15507.52,15.144,True,5484.48,1,0,0,122.66,n/a
costsim-00084,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,16,2,2,independent_all_resident,5696,3531.52,2880,96,15507.52,15.144,True,5484.48,2,0,0,140.66,n/a
costsim-00085,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,16,4,4,independent_all_resident,5696,3531.52,2880,96,15507.52,15.144,True,5484.48,4,0,0,176.66,n/a
costsim-00086,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,5,5,32,1,1,independent_all_resident,5696,3531.52,5760,96,18387.52,17.957,True,2604.48,1,0,0,122.66,n/a
